year,month,Yield Amount,temp_min,temp_max
2017,7,220.7,244,300
2021,6,204.5,244,294
2017,7,186.8,244,300
2021,6,200.8,244,294
2017,7,156.9,244,300
2021,6,222.8,244,294
2017,7,202.6,244,300
2021,6,202.6,244,294
2017,7,216.4,244,300
2021,6,186.6,244,294
2017,7,193.9,244,300
2021,6,197.2,244,294
2017,7,156.3,244,300
2021,6,212.6,244,294
2017,7,241.8,244,300
2021,6,206.8,244,294
2017,7,174.5,244,300
2021,6,189.9,244,294
2017,7,204.5,244,300
2021,6,192.9,244,294
2017,7,149.1,244,300
2021,6,220.4,244,294
2017,7,235,244,300
2021,6,212.6,244,294
2017,7,199.5,244,300
2021,6,240.3,244,294
2017,7,236.8,244,300
2021,6,208.2,244,294
2017,7,192.7,244,300
2021,6,217.8,244,294
2017,7,192.6,244,300
2021,6,174.9,244,294
2017,7,189.7,244,300
2021,6,148.2,244,294
2017,7,227.2,244,300
2021,6,202.2,244,294
2017,7,182.7,244,300
2021,6,180.1,244,294
2017,7,154.5,244,300
2021,6,160.3,244,294
2017,7,230,244,300
2021,6,189.1,244,294
2017,7,143.8,244,300
2021,6,197.8,244,294
2017,7,221.9,244,300
2021,6,172.7,244,294
2017,7,170.1,244,300
2021,6,218.2,244,294
2017,7,148,244,300
2021,6,210.9,244,294
2017,7,190.3,244,300
2021,6,178.5,244,294
2017,7,220.8,244,300
2021,6,217.3,244,294
2017,7,229.5,244,300
2021,6,192.7,244,294
2017,7,211.5,244,300
2021,6,198.1,244,294
2017,7,220.8,244,300
2021,6,186.1,244,294
2017,7,204.8,244,300
2021,6,199,244,294
2017,7,194.8,244,300
2021,6,178.9,244,294
2017,7,239.5,244,300
2021,6,208.2,244,294
2017,7,216.7,244,300
2021,6,175.5,244,294
2017,7,165.4,244,300
2021,6,197,244,294
2017,7,213.9,244,300
2021,6,201.6,244,294
2017,7,233,244,300
2021,6,226.1,244,294
2017,7,140.1,244,300
2021,6,194.2,244,294
2017,7,186.7,244,300
2021,6,201,244,294
2017,7,193.5,244,300
2021,6,185.2,244,294
2017,7,224.1,244,300
2021,6,223.3,244,294
2017,7,227.9,244,300
2021,6,176.6,244,294
2017,7,161.7,244,300
2021,6,194.7,244,294
2017,7,232.4,244,300
2021,6,188.5,244,294
2017,7,227.2,244,300
2021,6,169.4,244,294
2017,7,216.5,244,300
2021,6,198.5,244,294
2017,7,213.1,244,300
2021,6,215.8,244,294
2017,7,161.1,244,300
2021,6,179.3,244,294
2017,7,225.1,244,300
2021,6,162.4,244,294
2017,7,148.1,244,300
2021,6,172.2,244,294
2017,7,235.8,244,300
2021,6,205.8,244,294
2017,7,218.8,244,300
2021,6,185.9,244,294
2017,7,209.3,244,300
2021,6,163.2,244,294
2017,7,205.1,244,300
2021,6,216.8,244,294
2017,7,195.3,244,300
2021,6,231.7,244,294
2017,7,182.8,244,300
2021,6,214,244,294
2017,7,170,244,300
2021,6,216.9,244,294
2017,7,171.4,244,300
2021,6,188.9,244,294
2017,7,197.9,244,300
2021,6,187.2,244,294
2017,7,233.7,244,300
2021,6,212,244,294
2017,7,232.1,244,300
2021,6,193.8,244,294
2017,7,222.2,244,300
2021,6,219.1,244,294
2017,7,175.2,244,300
2021,6,220.8,244,294
2017,7,218.3,244,300
2021,6,191.9,244,294
2017,7,196.5,244,300
2021,6,180.3,244,294
2017,7,191,244,300
2021,6,204.2,244,294
2017,7,210.6,244,300
2021,6,194.8,244,294
2017,7,154.6,244,300
2021,6,176.6,244,294
2017,7,212.1,244,300
2021,6,208,244,294
2017,7,170.9,244,300
2021,6,211.7,244,294
2017,7,169.5,244,300
2021,6,178.8,244,294
2017,7,170.5,244,300
2021,6,194.8,244,294
2017,7,208.8,244,300
2021,6,219.5,244,294
2017,7,212.7,244,300
2021,6,220.7,244,294
2017,7,216.9,244,300
2021,6,195,244,294
2017,7,191.3,244,300
2021,6,194.6,244,294
2017,7,185.8,244,300
2021,6,201.3,244,294
2017,7,174.8,244,300
2021,6,215.3,244,294
2017,7,213.6,244,300
2021,6,219.8,244,294
2017,7,155,244,300
2021,6,209.6,244,294
2017,7,193.9,244,300
2021,6,210.5,244,294
2017,7,220.1,244,300
2021,6,181.6,244,294
2017,7,213.7,244,300
2021,6,210.8,244,294
2017,7,202.5,244,300
2021,6,224.1,244,294
2017,7,235,244,300
2017,7,165.3,244,300
2017,7,234.8,244,300
2017,7,194.4,244,300
2017,7,173.9,244,300
2017,7,177.1,244,300
2017,7,139.1,244,300
2017,7,198.9,244,300
2012,9,149.7,244,283
2017,8,220.7,256,278
2016,8,237.3,250,256
2022,8,241,250,300
2014,9,222.2,256,283
2022,5,241,250,278
2022,8,241,244,289
2022,8,241,244,289
2022,8,241,244,300
2010,6,178.2,250,300
2020,6,201.2,244,289
2022,8,241,244,300
2011,7,184.6,244,300
2021,6,223.1,244,289
2010,6,178.2,244,294
2020,8,201.2,244,300
2020,6,201.2,244,289
2018,7,228.6,244,300
2020,6,201.2,244,300
2022,6,241,244,300
2015,6,204.4,244,294
2016,9,237.3,244,294
2020,8,167.7,244,289
2022,7,201.5,244,289
2023,7,192.8,244,294
2020,6,167.7,244,294
2012,7,171.8,250,300
2012,9,165.3,244,283
2017,8,186.8,256,278
2016,8,212.4,250,256
2022,8,216.5,250,300
2014,9,183.2,256,283
2022,5,216.5,250,278
2022,8,216.5,244,289
2022,8,216.5,244,289
